lemma,count
βελτιώθηνα,2
παίδεια,2
βέλτις,2
δυνατός,2
τελειότης,2
ἀπταίστως,2
δεινός,2
ῥώμη,2
περιγίγνομαι,2
μάλιστα,2
πως,2
περίειμι,2
εὔλογος,2
πιθανός,2
πλειόνων,2
φιλοθεάμων,2
σοφιστός,2
ἐναργεία,2
πανηγεμών,2
διείρητος,2
διερμηνεύσις,2
νόημα,2
„ἔσται,2
σοφιστικός,2
τολμός,2
ὦ,2
τοιγάρ,2
ῥάβδος,2
οὐκέτι,2
μεγαλώνυμος,2
ἄνοθος,2
γνήσιος,2
φήμη,2
προνοητέον,2
εὐφημία,2
ῥητός,2
ὑπολαμβάνω,2
ἐρημία,2
ὑπερκύψας,2
γυμνός,2
ὑπολήψης,2
ἀχθοφορή,2
ἐφείτης,2
ἑορτή,2
ψυχικός,2
εὐφροσύνω,2
ἱκάν,2
τεθέντος,2
νομίζος,2
ἐκεῖνον,2
ὑπάρχος,2
δόμα,2
νόθος,2
ἀξιός,2
ἄγαμος,2
ἀδέκαστος,2
θεωρητός,2
26),2
ἄωκνος,2
λουτήρ,2
πούς,2
αἶσχος,2
ἀνάθημα,2
ἱεροπρεπής,2
τελειτατος,2
Λείας,2
ἄθλιος,2
τάγμα,2
δρόσος,2
χαρίζομαι,2
κεφαλή,2
σφραγίς,2
κώδων,2
ἄνθινος,2
χορός,2
διαφέρω,2
χορευτός,2
ἱματισμός,2
10),2
βεβαῖος,2
φαινόμενος,2
δωρεός,2
ὑπερβάλλουσα,2
ἀψευδή,2
δωρείτης,2
σπουδαίος,2
παττίον,2
ἔπαινον,2
ψόγος,2
ὥστ’,2
ἐπαινέω,2
ψέγω,2
δοκός,2
λέγων,2
Βαλαά,2
ὕμνος,2
εὐλογείς,2
πολέμιος,2
μαρτυρέω,2
κατεῖδον,2
ἔξεστι,2
κριτός,2
„ἐνευλογηθήσονται,2
εὐπάθεια,2
εὐδαιμονία,2
ἱκέτης,2
ἀποστρέφω,2
20),2
βραχύς,2
θνήσκω,2
οἰκίον,2
κακιός,2
ὀπαδός,2
ἀρρενογονής,2
Σάρρειον,2
ἔτος,2
ἄχρονος,2
ἀκμή,2
ἐλάλη,2
πανταχοῦ,2
μου“,2
ἱερώθατος,2
παραινή,2
ὑπενδός,2
πέρατος,2
ἄκρως,2
ποιηικός,2
δημιουργός,2
οἰτινός,2
νομίζετος,2
πότε,2
μεταβαίνων,2
ἀγαπητός,2
„ἐν,2
γῆρας,2
προσηκόντως,2
ἀποδίδος,2
ἑπόμενος,2
ἀφηγής,2
λίχνος,2
ἐνέδρα,2
λογισμόω,2
φαύλων,2
ἀπόρριπτος,2
ἀξιόω,2
εὐθεία,2
πνεῦμα,2
ἀπομαθεύς,2
ἀμάθιος,2
ληφθείς,2
φυλάξ,2
οὔπω,2
ἡνίκα,2
φθόνος,2
μιγός,2
πολύτροπος,2
ἀφορός,2
Ἰάκαψ,2
κύκλος,2
δακρύς,2
νόσημα,2
αἰφνίδιος,2
ποιητικός,2
ὄγκος,2
δάκρυον,2
ἄρτος,2
δάκρυος,2
